image_index,true_label
0,3
1,8
2,8
3,0
4,6
5,6
6,1
7,6
8,3
9,1
10,0
11,9
12,5
13,7
14,9
15,8
16,5
17,7
18,8
19,6
20,7
21,0
22,4
23,9
24,5
25,2
26,4
27,0
28,9
29,6
30,6
31,5
32,4
33,5
34,9
35,2
36,4
37,1
38,9
39,5
40,4
41,6
42,5
43,6
44,0
45,9
46,3
47,9
48,7
49,6
50,9
51,8
52,0
53,3
54,8
55,8
56,7
57,7
58,4
59,6
60,7
61,3
62,6
63,3
64,6
65,2
66,1
67,2
68,3
69,7
70,2
71,6
72,8
73,8
74,0
75,2
76,9
77,3
78,3
79,8
80,8
81,1
82,1
83,7
84,2
85,5
86,2
87,7
88,8
89,9
90,0
91,3
92,8
93,6
94,4
95,6
96,6
97,0
98,0
99,7
100,4
101,5
102,6
103,3
104,1
105,1
106,3
107,6
108,8
109,7
110,4
111,0
112,6
113,2
114,1
115,3
116,0
117,4
118,2
119,7
120,8
121,3
122,1
123,2
124,8
125,0
126,8
127,3
128,5
129,2
130,4
131,1
132,8
133,9
134,1
135,2
136,9
137,7
138,2
139,9
140,6
141,5
142,6
143,3
144,8
145,7
146,6
147,2
148,5
149,2
150,8
151,9
152,6
153,0
154,0
155,5
156,2
157,9
158,5
159,4
160,2
161,1
162,6
163,6
164,8
165,4
166,8
167,4
168,5
169,0
170,9
171,9
172,9
173,8
174,9
175,9
176,3
177,7
178,5
179,0
180,0
181,5
182,2
183,2
184,3
185,8
186,6
187,3
188,4
189,0
190,5
191,8
192,0
193,1
194,7
195,2
196,8
197,8
198,7
199,8
200,5
201,1
202,8
203,7
204,1
205,3
206,0
207,5
208,7
209,9
210,7
211,4
212,5
213,9
214,8
215,0
216,7
217,9
218,8
219,2
220,7
221,6
222,9
223,4
224,3
225,9
226,6
227,4
228,7
229,6
230,5
231,1
232,5
233,8
234,8
235,0
236,4
237,0
238,5
239,5
240,1
241,1
242,8
243,9
244,0
245,3
246,1
247,9
248,2
249,2
250,5
251,3
252,9
253,9
254,4
255,0
256,3
257,0
258,0
259,9
260,8
261,1
262,5
263,7
264,0
265,8
266,2
267,4
268,7
269,0
270,2
271,3
272,6
273,3
274,8
275,5
276,0
277,3
278,4
279,3
280,9
281,0
282,6
283,1
284,0
285,9
286,1
287,0
288,7
289,9
290,1
291,2
292,6
293,9
294,3
295,4
296,6
297,0
298,0
299,6
300,6
301,6
302,3
303,2
304,6
305,1
306,8
307,2
308,1
309,6
310,8
311,6
312,8
313,0
314,4
315,0
316,7
317,7
318,5
319,5
320,3
321,5
322,2
323,3
324,4
325,1
326,7
327,5
328,4
329,6
330,1
331,9
332,3
333,6
334,6
335,9
336,3
337,8
338,0
339,7
340,2
341,6
342,2
343,5
344,8
345,5
346,4
347,6
348,8
349,9
350,9
351,1
352,0
353,2
354,2
355,7
356,3
357,2
358,8
359,0
360,9
361,5
362,8
363,1
364,9
365,4
366,1
367,3
368,8
369,1
370,4
371,7
372,9
373,4
374,2
375,7
376,0
377,7
378,0
379,6
380,6
381,9
382,0
383,9
384,2
385,8
386,7
387,2
388,2
389,5
390,1
391,2
392,6
393,2
394,9
395,6
396,2
397,3
398,0
399,3
400,9
401,8
402,7
403,8
404,8
405,4
406,0
407,1
408,8
409,2
410,7
411,9
412,3
413,6
414,1
415,9
416,0
417,7
418,3
419,7
420,4
421,5
422,0
423,0
424,2
425,9
426,3
427,4
428,0
429,6
430,2
431,5
432,3
433,7
434,3
435,7
436,2
437,5
438,3
439,1
440,1
441,4
442,9
443,9
444,5
445,7
446,5
447,0
448,2
449,2
450,2
451,9
452,7
453,3
454,9
455,4
456,3
457,5
458,4
459,6
460,5
461,6
462,1
463,4
464,3
465,4
466,4
467,3
468,7
469,8
470,3
471,7
472,8
473,0
474,5
475,7
476,6
477,0
478,5
479,4
480,8
481,6
482,8
483,5
484,5
485,9
486,9
487,9
488,5
489,0
490,1
491,0
492,8
493,1
494,1
495,8
496,0
497,2
498,2
499,0
500,4
501,6
502,5
503,4
504,9
505,4
506,7
507,9
508,9
509,4
510,5
511,6
512,6
513,1
514,5
515,3
516,8
517,9
518,5
519,8
520,5
521,7
522,0
523,7
524,0
525,5
526,0
527,0
528,4
529,6
530,9
531,0
532,9
533,5
534,6
535,6
536,6
537,2
538,9
539,0
540,1
541,7
542,6
543,7
544,5
545,9
546,1
547,6
548,2
549,5
550,5
551,5
552,8
553,5
554,9
555,4
556,6
557,4
558,3
559,2
560,0
561,7
562,6
563,2
564,2
565,3
566,9
567,7
568,9
569,2
570,6
571,7
572,1
573,3
574,6
575,6
576,8
577,9
578,7
579,5
580,4
581,0
582,8
583,4
584,0
585,9
586,3
587,4
588,8
589,9
590,6
591,9
592,2
593,6
594,1
595,4
596,7
597,3
598,5
599,3
600,8
601,5
602,0
603,2
604,1
605,6
606,4
607,3
608,3
609,9
610,6
611,9
612,8
613,8
614,5
615,8
616,6
617,6
618,2
619,1
620,7
621,7
622,1
623,2
624,7
625,9
626,9
627,4
628,4
629,1
630,2
631,5
632,6
633,8
634,7
635,6
636,8
637,3
638,0
639,5
640,5
641,3
642,0
643,7
644,9
645,1
646,3
647,4
648,4
649,5
650,3
651,9
652,5
653,6
654,9
655,2
656,1
657,1
658,4
659,1
660,9
661,4
662,7
663,6
664,3
665,8
666,9
667,0
668,1
669,3
670,6
671,3
672,6
673,3
674,2
675,0
676,3
677,1
678,0
679,5
680,9
681,6
682,4
683,8
684,9
685,6
686,9
687,6
688,3
689,0
690,3
691,2
692,2
693,7
694,8
695,3
696,8
697,2
698,7
699,5
700,7
701,2
702,4
703,8
704,7
705,4
706,2
707,9
708,8
709,8
710,6
711,8
712,8
713,7
714,4
715,3
716,3
717,8
718,4
719,9
720,4
721,8
722,8
723,1
724,8
725,2
726,1
727,3
728,6
729,5
730,4
731,2
732,7
733,9
734,9
735,4
736,1
737,4
738,1
739,3
740,2
741,7
742,0
743,7
744,9
745,7
746,6
747,6
748,2
749,5
750,9
751,2
752,9
753,1
754,2
755,2
756,6
757,8
758,2
759,1
760,3
761,6
762,6
763,0
764,1
765,2
766,7
767,0
768,5
769,4
770,6
771,1
772,6
773,4
774,0
775,2
776,2
777,6
778,0
779,5
780,9
781,1
782,7
783,6
784,7
785,0
786,3
787,9
788,6
789,8
790,3
791,0
792,3
793,4
794,7
795,7
796,1
797,4
798,7
799,2
800,7
801,1
802,4
803,7
804,4
805,4
806,8
807,4
808,7
809,7
810,5
811,3
812,7
813,2
814,0
815,8
816,9
817,5
818,8
819,3
820,6
821,2
822,0
823,8
824,7
825,3
826,7
827,6
828,5
829,3
830,1
831,3
832,2
833,2
834,5
835,4
836,1
837,2
838,9
839,2
840,7
841,0
842,7
843,2
844,1
845,3
846,2
847,0
848,2
849,4
850,7
851,9
852,8
853,9
854,0
855,7
856,7
857,0
858,7
859,8
860,4
861,6
862,3
863,3
864,0
865,1
866,3
867,7
868,0
869,1
870,3
871,1
872,4
873,2
874,3
875,8
876,4
877,2
878,3
879,7
880,8
881,4
882,3
883,0
884,9
885,0
886,0
887,1
888,0
889,4
890,4
891,6
892,7
893,6
894,1
895,1
896,3
897,7
898,3
899,5
900,2
901,6
902,6
903,5
904,8
905,7
906,1
907,6
908,8
909,8
910,5
911,3
912,0
913,4
914,0
915,1
916,3
917,8
918,8
919,0
920,6
921,9
922,9
923,9
924,5
925,5
926,8
927,6
928,0
929,0
930,4
931,2
932,3
933,2
934,7
935,2
936,2
937,5
938,9
939,8
940,9
941,1
942,7
943,4
944,0
945,3
946,0
947,1
948,3
949,8
950,3
951,9
952,6
953,1
954,4
955,7
956,0
957,3
958,7
959,8
960,9
961,1
962,1
963,6
964,6
965,6
966,6
967,9
968,1
969,9
970,9
971,4
972,2
973,1
974,7
975,0
976,6
977,8
978,1
979,9
980,2
981,9
982,0
983,4
984,7
985,8
986,3
987,1
988,2
989,0
990,1
991,5
992,8
993,4
994,6
995,3
996,8
997,1
998,3
999,8
