degradation,severity,accuracy,macro_f1,mean_confidence,confidence_accuracy_gap
blur,0,0.925,0.9247095498194495,0.96318114,0.03818113803863521
blur,1,0.334,0.3206487887160413,0.84360486,0.5096048626899718
blur,2,0.177,0.1055851082294823,0.7187111,0.5417110781669616
blur,3,0.173,0.10457239254370401,0.64899564,0.47599563789367677
blur,4,0.162,0.09567630156901057,0.59066397,0.4286639695167541
blur,5,0.162,0.09269881185270908,0.55268925,0.390689254283905
noise,0,0.925,0.9247095498194495,0.96318114,0.03818113803863521
noise,1,0.705,0.7105575419520107,0.8890293,0.18402932405471806
noise,2,0.325,0.30133017901127845,0.84621024,0.5212102413177491
noise,3,0.189,0.11050928262858026,0.8399197,0.6509196863174438
noise,4,0.149,0.055516750883849685,0.82418907,0.6751890668869018
noise,5,0.131,0.046717281899992566,0.7916805,0.6606805148124695
brightness,0,0.925,0.9247095498194495,0.96318114,0.03818113803863521
brightness,1,0.918,0.9175674381779212,0.96314305,0.04514305067062374
brightness,2,0.913,0.9127715547884157,0.9592895,0.04628949117660519
brightness,3,0.891,0.8909678868412699,0.95114577,0.060145768165588365
brightness,4,0.858,0.8608190578440598,0.9357216,0.07772157621383669
brightness,5,0.651,0.6826633559067105,0.9003717,0.2493716707229614
rotation,0,0.925,0.9247095498194495,0.96318114,0.03818113803863521
rotation,1,0.663,0.6592089384729987,0.8557922,0.192792224407196
rotation,2,0.338,0.291388380323128,0.80427253,0.4662725324630737
rotation,3,0.26,0.2108296742556312,0.82707566,0.5670756602287292
rotation,4,0.204,0.15791693874162455,0.8129656,0.6089655718803406
rotation,5,0.269,0.23985727236201876,0.7800188,0.5110188064575195
