degradation,severity,image_index,true_label,predicted_label,confidence
blur,0,0,3,3,1.0
blur,0,1,8,8,0.9999982
blur,0,2,8,8,0.98006594
blur,0,3,0,0,0.5673444
blur,0,4,6,6,0.9999982
blur,0,5,6,6,0.99999964
blur,0,6,1,1,0.97413313
blur,0,7,6,6,0.99997306
blur,0,8,3,3,0.9998522
blur,0,9,1,1,0.99922395
blur,0,10,0,0,0.9999876
blur,0,11,9,9,1.0
blur,0,12,5,5,0.9967943
blur,0,13,7,7,0.9999987
blur,0,14,9,9,0.9999796
blur,0,15,8,6,0.9484908
blur,0,16,5,5,0.99989533
blur,0,17,7,7,0.99998903
blur,0,18,8,8,0.99997485
blur,0,19,6,6,0.99999976
blur,0,20,7,7,0.7316666
blur,0,21,0,0,0.9998374
blur,0,22,4,4,0.902947
blur,0,23,9,9,0.9999999
blur,0,24,5,5,0.9980398
blur,0,25,2,2,0.7754153
blur,0,26,4,4,0.99993455
blur,0,27,0,0,0.9999994
blur,0,28,9,9,0.9998666
blur,0,29,6,6,0.9912724
blur,0,30,6,6,0.9997638
blur,0,31,5,5,0.9999999
blur,0,32,4,4,0.99983287
blur,0,33,5,5,0.9989304
blur,0,34,9,9,1.0
blur,0,35,2,2,0.898779
blur,0,36,4,4,0.9969758
blur,0,37,1,9,0.8273257
blur,0,38,9,9,0.99982554
blur,0,39,5,5,0.9999995
blur,0,40,4,4,0.99892586
blur,0,41,6,6,0.9999999
blur,0,42,5,5,0.9999291
blur,0,43,6,6,0.99999976
blur,0,44,0,0,1.0
blur,0,45,9,9,0.9999969
blur,0,46,3,3,0.97000736
blur,0,47,9,9,0.6179131
blur,0,48,7,7,0.99986434
blur,0,49,6,6,0.9997713
blur,0,50,9,9,0.99989223
blur,0,51,8,8,0.9999902
blur,0,52,0,5,0.75728947
blur,0,53,3,3,0.9989141
blur,0,54,8,8,0.9999453
blur,0,55,8,8,1.0
blur,0,56,7,7,0.99999654
blur,0,57,7,7,0.72540575
blur,0,58,4,4,0.53250587
blur,0,59,6,6,0.67402166
blur,0,60,7,7,0.9998196
blur,0,61,3,5,0.976756
blur,0,62,6,6,0.9999211
blur,0,63,3,3,0.95304155
blur,0,64,6,6,0.9999796
blur,0,65,2,2,1.0
blur,0,66,1,1,0.99977535
blur,0,67,2,2,0.9974371
blur,0,68,3,3,0.99703133
blur,0,69,7,7,0.991139
blur,0,70,2,2,0.9560233
blur,0,71,6,6,0.9994916
blur,0,72,8,8,0.9999063
blur,0,73,8,8,0.9995485
blur,0,74,0,0,0.9607652
blur,0,75,2,2,0.99999785
blur,0,76,9,9,0.9999933
blur,0,77,3,3,0.99999976
blur,0,78,3,5,0.71026266
